Feature,Coefficient
Intercept,7.637433989241439
EPA_Matchup,-35.984853748886586
Pass_EPA_Matchup,18.3157442510178
Rush_EPA_Matchup,13.650345354812433
Success_Matchup,-2.4139045883181764
Explosive_Matchup,20.038311972152638
Plays_Matchup,-0.04889487100590618
Turnover_Env,-44.11711411415471
Sack_Env,11.255045715791843
Wind,-0.12492918158383622
Cold_Units,0.09172728403156519
Dome,1.2294938566661142
Short_Rest,0.8052474124649619
Div_Game,0.5283143749921256
Residual_SD,13.098078852995782
